City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,302.39,62,0,3.09,US,1689888008
1,cochrane,51.1834,-114.4687,300.88,39,0,6.17,CA,1689888007
2,adamstown,-25.066,-130.1015,295.16,87,100,17.25,PN,1689888009
3,west island,-12.1568,96.8225,298.14,73,40,5.66,CC,1689888009
4,invercargill,-46.4,168.35,273.16,99,6,0.89,NZ,1689888009
5,hadibu,12.65,54.0333,298.23,80,74,8.46,YE,1689888010
6,tiksi,71.6872,128.8694,280.44,63,26,7.13,RU,1689888010
7,dudinka,69.4058,86.1778,289.61,98,54,4.13,RU,1689888015
8,lubang,13.8584,120.124,302.08,72,100,4.59,PH,1689888017
9,pinarbasi,38.7229,36.3931,290.17,51,0,0.6,TR,1689888017
10,tura,25.5198,90.2201,296.83,98,100,1.69,IN,1689888017
11,college,64.8569,-147.8028,292.08,91,100,2.06,US,1689888018
12,waitangi,-43.9535,-176.5597,280.83,94,99,0.89,NZ,1689888018
13,nema,57.5067,50.5011,286.19,95,29,4.86,RU,1689888018
14,ancud,-41.8697,-73.8203,284.1,89,46,8.59,CL,1689888019
15,port elizabeth,-33.918,25.5701,285.31,58,40,5.66,ZA,1689888019
16,grytviken,-54.2811,-36.5092,270.45,86,97,1.75,GS,1689888019
17,bredasdorp,-34.5322,20.0403,282.14,75,0,4.86,ZA,1689888020
18,hermanus,-34.4187,19.2345,282.48,79,0,3.73,ZA,1689888020
19,aydarken,39.9443,71.3429,291.86,53,18,0.7,KG,1689888021
20,jamestown,42.097,-79.2353,299.92,65,75,2.57,US,1689888022
21,ust-nera,64.5667,143.2,297.71,42,76,2.74,RU,1689888022
22,al jawf,29.5,38.75,305.26,14,0,3.2,SA,1689888022
23,arkhangel'sk,64.5401,40.5433,288.37,96,52,4.03,RU,1689888023
24,an nimas,19.1455,42.1201,296.14,31,99,2.48,SA,1689888023
25,kununurra,-15.7667,128.7333,287.14,77,58,1.03,AU,1689888024
26,ulysses,37.5814,-101.3552,305.17,55,40,5.14,US,1689888024
27,bilibino,68.0546,166.4372,289.91,59,89,1.24,RU,1689888025
28,port mathurin,-19.6833,63.4167,296.42,68,8,7.82,MU,1689888025
29,khalkhal,37.6189,48.5258,290.82,72,61,2.66,IR,1689888025
30,hami,42.8,93.45,304.15,20,100,10.21,CN,1689888026
31,hamilton,39.1834,-84.5333,305.2,66,40,4.63,US,1689887857
32,ridgecrest,35.6225,-117.6709,315.08,16,3,1.34,US,1689888026
